model,phase,frequency_a,frequency_b,seeds,power_fraction_median,power_fraction_min,power_fraction_max,on_modular_diagonal
kan,final,-7,-1,5,3.626922989496961e-05,1.5905607142485678e-05,0.00018685642862692475,False
kan,final,-7,0,5,0.00010146176646230742,7.004942744970322e-05,0.00028340116841718554,False
kan,final,-7,1,5,4.6315799409057945e-05,1.4458414625551086e-05,0.00016196239448618144,False
kan,final,-7,2,5,4.8302728828275576e-05,8.83514167071553e-06,8.553006773581728e-05,False
kan,final,-7,3,5,2.9161392376408912e-05,2.1849540644325316e-05,0.00010882291098823771,False
kan,final,-7,4,5,5.285118822939694e-05,5.770509233116172e-06,0.00022086594253778458,False
kan,final,-7,5,5,6.158585892990232e-05,1.0758109056041576e-05,0.00022130357683636248,False
kan,final,-7,6,5,4.4744767365045846e-05,8.976102435553912e-06,6.588562246179208e-05,False
kan,final,-7,7,5,5.5195330787682906e-05,1.1074302165070549e-05,0.0002746602986007929,False
kan,final,-7,8,5,3.179021950927563e-05,1.0014594408858102e-05,0.00021931709488853812,False
kan,final,-7,9,5,3.6569919757312164e-05,2.21875925490167e-05,0.0003685920382849872,False
kan,final,-7,10,5,8.607863128418103e-05,3.434075551922433e-05,0.00015662267105653882,False
kan,final,-7,11,5,3.922508767573163e-05,3.339024988235906e-05,0.0004202545096632093,False
kan,final,-7,12,5,2.2393549443222582e-05,2.0093573766644113e-05,0.00011837794590974227,False
kan,final,-7,13,5,2.378231511102058e-05,1.4844027646176983e-05,9.370807674713433e-05,False
kan,final,-7,14,5,2.7942633096245117e-05,8.267878001788631e-06,0.00018913747044280171,False
kan,final,-7,15,5,5.812159724882804e-05,7.767391252855305e-06,0.00033534885733388364,False
kan,final,-6,-15,5,5.470885298564099e-05,1.0752562957350165e-05,0.00043140287743881345,False
kan,final,-6,-14,5,5.8652185543905944e-05,7.803600055922288e-06,0.00032190894125960767,False
kan,final,-6,-13,5,3.7529334804276004e-05,1.2432309631549288e-05,0.00013630709145218134,False
kan,final,-6,-12,5,5.699151734006591e-05,2.7936948754359037e-05,0.000200374866835773,False
kan,final,-6,-11,5,7.953259046189487e-05,2.4312734240083955e-05,0.0002978555276058614,False
kan,final,-6,-10,5,0.00013882455823477358,2.4735823899391107e-05,0.00016527980915270746,False
kan,final,-6,-9,5,0.0001193542339024134,2.8576088880072348e-05,0.0003813739458564669,False
kan,final,-6,-8,5,0.00015077280113473535,1.3891663002141286e-05,0.0003313404740765691,False
kan,final,-6,-7,5,6.2364932091441e-05,1.1947303391934838e-05,0.00030795001657679677,False
kan,final,-6,-6,5,0.03073873743414879,0.026480793952941895,0.03242677077651024,True
kan,final,-6,-5,5,5.910628169658594e-05,1.1770478522521444e-05,0.000518399232532829,False
kan,final,-6,-4,5,6.0199399740668014e-05,1.005439116852358e-05,0.00026801525382325053,False
kan,final,-6,-3,5,0.0001178859020001255,2.3239739675773308e-05,0.00015266875561792403,False
kan,final,-6,-2,5,7.335431291721761e-05,1.2158074241597205e-05,0.00013410781684797257,False
