model,phase,seeds,modular_diagonal_power_fraction_median,modular_diagonal_power_fraction_min,modular_diagonal_power_fraction_max,hidden_pc1_variance_median,hidden_pc1_variance_min,hidden_pc1_variance_max,hidden_pc2_variance_median,hidden_pc2_variance_min,hidden_pc2_variance_max,hidden_participation_rank_median,hidden_participation_rank_min,hidden_participation_rank_max,train_accuracy_median,train_accuracy_min,train_accuracy_max,test_accuracy_median,test_accuracy_min,test_accuracy_max
kan,final,5,0.9515184760093689,0.7150940299034119,0.9775506854057312,0.16523219645023346,0.13273435831069946,0.17215323448181152,0.1440574824810028,0.13030864298343658,0.14835861325263977,9.90807056427002,9.751708984375,11.137153625488281,1.0,1.0,1.0,1.0,0.9760000109672546,1.0
kan,generalization,4,0.8277616202831268,0.8047203421592712,0.8362950682640076,0.18888786435127258,0.17037343978881836,0.1907295137643814,0.15019891411066055,0.13439084589481354,0.1652611494064331,9.573667526245117,8.980602264404297,9.96998119354248,1.0,1.0,1.0,0.9912000000476837,0.9904000163078308,0.9968000054359436
kan,memorization,5,0.17538568377494812,0.1606273651123047,0.2405652552843094,0.16390345990657806,0.1603957712650299,0.17029500007629395,0.1351984739303589,0.13013839721679688,0.13957564532756805,10.119946479797363,9.810356140136719,10.3179931640625,0.9940476417541504,0.9910714030265808,0.9970238208770752,0.06880000233650208,0.04960000142455101,0.10080000013113022
mlp,final,5,0.5265602469444275,0.4716584384441376,0.5502844452857971,0.017592253163456917,0.016271226108074188,0.019496407359838486,0.016573384404182434,0.015468496829271317,0.017639096826314926,102.19674682617188,101.65089416503906,106.43185424804688,1.0,1.0,1.0,0.9103999733924866,0.8064000010490417,0.9344000220298767
mlp,memorization,5,0.0752958357334137,0.0665557011961937,0.08064969629049301,0.01986238919198513,0.018716566264629364,0.020416997373104095,0.0186200812458992,0.018172038719058037,0.01928734965622425,101.69654083251953,101.00822448730469,102.55013275146484,0.9910714030265808,0.9910714030265808,0.9940476417541504,0.006399999838322401,0.0031999999191612005,0.009600000455975533
