fraction,strategy,models,observations,test_accuracy_median,test_accuracy_min,test_accuracy_max,test_accuracy_delta_median,test_accuracy_delta_min,test_accuracy_delta_max
0.01,bottom,5,5,1.0,0.9760000109672546,1.0,0.0,0.0,0.0
0.01,random,5,50,1.0,0.9696000218391418,1.0,0.0,-0.006399989128112793,0.0031999945640563965
0.01,top,5,5,1.0,0.9648000001907349,1.0,0.0,-0.011200010776519775,0.0
0.05,bottom,5,5,1.0,0.979200005531311,1.0,0.0,0.0,0.0031999945640563965
0.05,random,5,50,0.995199978351593,0.9359999895095825,1.0,-0.004800021648406982,-0.04000002145767212,0.0
0.05,top,5,5,0.9983999729156494,0.9488000273704529,1.0,-0.001600027084350586,-0.05119997262954712,0.0
0.1,bottom,5,5,1.0,0.9855999946594238,1.0,0.0,0.0,0.00959998369216919
0.1,random,5,50,0.951200008392334,0.8095999956130981,0.995199978351593,-0.04719999432563782,-0.19040000438690186,-0.004800021648406982
0.1,top,5,5,0.8992000222206116,0.6991999745368958,0.9488000273704529,-0.07840001583099365,-0.30080002546310425,-0.05119997262954712
