run,seed,fraction,edge_count,strategy,repeat,train_accuracy,test_accuracy,baseline_test_accuracy,test_accuracy_delta
kan_p31_f35_wd0.3_seed10,10,0.01,13,top,0,1.0,0.9648000001907349,0.9760000109672546,-0.011200010776519775
kan_p31_f35_wd0.3_seed10,10,0.01,13,bottom,0,1.0,0.9760000109672546,0.9760000109672546,0.0
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,0,1.0,0.9775999784469604,0.9760000109672546,0.0015999674797058105
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,1,1.0,0.9760000109672546,0.9760000109672546,0.0
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,2,1.0,0.9760000109672546,0.9760000109672546,0.0
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,3,1.0,0.9775999784469604,0.9760000109672546,0.0015999674797058105
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,4,1.0,0.9696000218391418,0.9760000109672546,-0.006399989128112793
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,5,1.0,0.979200005531311,0.9760000109672546,0.0031999945640563965
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,6,1.0,0.979200005531311,0.9760000109672546,0.0031999945640563965
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,7,1.0,0.974399983882904,0.9760000109672546,-0.001600027084350586
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,8,1.0,0.9760000109672546,0.9760000109672546,0.0
kan_p31_f35_wd0.3_seed10,10,0.01,13,random,9,1.0,0.9760000109672546,0.9760000109672546,0.0
kan_p31_f35_wd0.3_seed10,10,0.05,65,top,0,0.9821428656578064,0.9520000219345093,0.9760000109672546,-0.02399998903274536
kan_p31_f35_wd0.3_seed10,10,0.05,65,bottom,0,1.0,0.979200005531311,0.9760000109672546,0.0031999945640563965
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,0,1.0,0.9679999947547913,0.9760000109672546,-0.008000016212463379
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,1,1.0,0.9599999785423279,0.9760000109672546,-0.016000032424926758
